"Unidade";"Serie";"Turno";"Turma";"Capacidade";"Matriculados";"Vagas";"Excedidos";"Excedentes";"Intencoes";"Totais_Intencoes";"Totais_Excedentes"
"EMEII ETELVINA DE ARAÚJO ALMEIDA";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"15";"0";"0";"2";"0";"3";"11"
"EMEII ETELVINA DE ARAÚJO ALMEIDA";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"2";"0";"3";"11"
"EMEII ETELVINA DE ARAÚJO ALMEIDA";"Infantil – II";"Integral (Infantil)";"Inf. IIC";"5";"5";"0";"0";"2";"0";"3";"11"
"EMEII ETELVINA DE ARAÚJO ALMEIDA";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"2";"2";"3";"11"
"EMEII ETELVINA DE ARAÚJO ALMEIDA";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"13";"13";"0";"0";"2";"2";"3";"11"
"EMEII FRANCISCO GUEDES BOMBINI";"Infantil – I";"Integral (Infantil)";"Inf. IA";"10";"11";"0";"1";"4";"0";"0";"4"
"EMEII GARIBALDO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"5";"2";"2";"5"
"EMEII GASPARZINHO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"15";"14";"1";"0";"2";"2";"8";"6"
"EMEII GASPARZINHO";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"19";"0";"4";"2";"3";"8";"6"
"EMEII GASPARZINHO";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"16";"16";"0";"0";"2";"3";"8";"6"
"EMEII GERSON TREVIZANI";"Infantil – I";"Manhã (Infantil)";"Inf. IA";"15";"15";"0";"0";"33";"0";"0";"64"
"EMEII GERSON TREVIZANI";"Infantil – I";"Tarde (Infantil)";"Inf. IB";"15";"15";"0";"0";"31";"0";"0";"64"
"EMEII GISELE MARIE SAVI DE SEIXAS PINTO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"4";"1";"6";"7"
"EMEII GISELE MARIE SAVI DE SEIXAS PINTO";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"3";"5";"6";"7"
"EMEII GISELE MARIE SAVI DE SEIXAS PINTO";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"13";"13";"0";"0";"3";"5";"6";"7"
"EMEII GLÓRIA CRISTINA MELO DE LIMA";"Infantil";"Integral (Infantil)";"Inf.A";"5";"2";"3";"0";"1";"0";"5";"9"
"EMEII GLÓRIA CRISTINA MELO DE LIMA";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"5";"3";"5";"9"
"EMEII GLÓRIA CRISTINA MELO DE LIMA";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"16";"0";"1";"3";"2";"5";"9"
"EMEII HORÁCIO GONÇALVES PAULA";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"16";"0";"1";"2";"1";"3";"7"
"EMEII HORÁCIO GONÇALVES PAULA";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"7";"7";"0";"0";"2";"1";"3";"7"
"EMEII HORÁCIO GONÇALVES PAULA";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"11";"12";"0";"1";"5";"2";"3";"7"
"EMEII HORÁCIO GONÇALVES PAULA";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"11";"11";"0";"0";"5";"2";"3";"7"
"EMEII IARA CONCEIÇÃO VICENTE";"Infantil – I";"Integral (Infantil)";"Inf. IA";"21";"21";"0";"0";"3";"1";"4";"7"
"EMEII IARA CONCEIÇÃO VICENTE";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"16";"0";"1";"4";"3";"4";"7"
"EMEII IARA CONCEIÇÃO VICENTE";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"4";"3";"4";"7"
"EMEII IRENE FERREIRA CHERMONT";"Infantil – III";"Tarde (Infantil)";"Inf. IIIA";"12";"12";"0";"0";"2";"0";"0";"2"
"EMEII JOSÉ AUGUSTO VIEIRA RANIERI - DUDU RANIERI";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"9";"2";"8";"17"
"EMEII JOSÉ AUGUSTO VIEIRA RANIERI - DUDU RANIERI";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"14";"1";"0";"2";"2";"8";"17"
